Age,Gender,Parental_Education,Family_Income,Previous_Grades,Attendance,Class_Participation,Study_Hours,Major,School_Type,Financial_Status,Parental_Involvement,Educational_Resources,Motivation,Self_Esteem,Stress_Levels,School_Environment,Professor_Quality,Class_Size,Extracurricular_Activities,Sleep_Patterns,Nutrition,Physical_Activity,Screen_Time,Educational_Tech_Use,Peer_Group,Bullying,Study_Space,Tutoring,Mentoring,Lack_of_Interest,Time_Wasted_on_Social_Media,Sports_Participation,Learning_Style
23.6,Male,Graduate,50000,B,67.2,,4.8,Law,Private,Low,Low,Yes,Medium,High,Medium,Positive,Low,29.7,Yes,,,High,1.7,Yes,,No,Yes,No,No,High,1.5,High,Kinesthetic
17.2,Male,College,30000,B,64.1,Low,7.5,Medicine,Public,Medium,Medium,Yes,Medium,High,High,Positive,Medium,33.0,No,,Healthy,Medium,7.2,Yes,Positive,No,Yes,No,Yes,Low,,Low,Visual
18.8,Female,,60000,B,86.9,High,7.3,Arts,Private,Medium,High,No,High,High,High,Positive,Medium,30.1,,5.0,Unhealthy,Low,6.2,Yes,Positive,No,Yes,No,Yes,High,3.5,Low,Visual
19.2,Female,Graduate,75000,C,98.2,High,2.4,Engineering,,High,High,No,High,Medium,Medium,Neutral,Medium,38.8,Yes,7.2,Unhealthy,Low,2.0,No,Positive,No,Yes,Yes,Yes,Medium,1.2,Low,Kinesthetic
22.7,Male,Graduate,60000,A,74.8,Low,,Arts,Private,,Low,Yes,Low,High,Medium,Positive,Medium,34.0,Yes,4.6,Healthy,High,1.3,No,,Yes,Yes,No,Yes,High,,High,Kinesthetic
,Male,Some College,Unknown,A,,,6.7,Arts,Private,Low,Medium,Yes,Medium,High,Medium,Positive,Medium,27.1,Yes,8.9,Unhealthy,Medium,6.7,,Positive,No,Yes,No,Yes,Low,0.7,High,Visual
17.9,Female,Some College,60000,A,77.5,,3.2,Arts,Private,Medium,High,,High,Low,,Positive,Low,37.0,No,6.3,Unhealthy,Medium,6.2,Yes,Positive,No,Yes,Yes,Yes,Medium,2.9,Medium,Auditory
20.4,Male,High School,75000,C,66.7,High,6.7,,Private,Low,Low,Yes,Medium,High,,Positive,Medium,39.5,Yes,,Unhealthy,Medium,7.1,Yes,Negative,No,Yes,No,No,Low,1.2,High,Visual
20.4,Female,Some College,40000,B,66.8,High,1.3,Science,Private,,Low,No,Medium,Medium,Low,Positive,Medium,36.1,Yes,4.7,Unhealthy,High,0.7,No,Negative,No,Yes,No,Yes,High,3.2,High,Kinesthetic
20.4,Female,Graduate,30000,B,84.2,Low,5.9,,Private,Medium,Low,Yes,Medium,Medium,High,Positive,Medium,25.0,Yes,4.7,Balanced,High,0.6,Yes,Negative,Yes,Yes,No,No,High,1.4,High,Kinesthetic
20.9,Male,Graduate,,A,63.5,Medium,6.6,,Private,Medium,Low,No,High,High,Low,Positive,Low,29.1,Yes,8.6,Healthy,Medium,7.7,Yes,Positive,,Yes,No,No,Low,3.3,Low,Visual
19.0,Male,Graduate,Unknown,B,64.7,Low,6.4,Business,Private,,Medium,Yes,High,High,Low,Positive,High,33.3,No,6.6,Balanced,Low,5.3,Yes,Neutral,Yes,Yes,No,Yes,High,1.7,High,Visual
16.9,Female,College,75000,B,63.1,Low,7.2,Business,Public,Medium,Medium,No,Low,High,High,Positive,Low,38.8,,6.0,Healthy,Low,5.2,Yes,Positive,,Yes,No,No,High,,Medium,Visual
18.0,Male,College,60000,B,86.3,Low,3.9,Medicine,Public,,,Yes,Medium,High,Low,Negative,Low,36.0,,4.2,Balanced,High,0.6,Yes,Negative,No,No,Yes,Yes,High,1.5,High,Kinesthetic
22.0,Male,Graduate,50000,B,96.0,High,4.1,Science,Private,,Low,Yes,High,Low,Medium,Positive,Medium,29.8,Yes,7.5,Balanced,High,2.9,Yes,Positive,No,Yes,Yes,Yes,,2.9,High,Auditory
19.7,Female,High School,Unknown,A,74.8,Medium,2.3,Science,Private,Low,Low,,Low,Medium,Medium,Negative,Medium,33.7,Yes,5.3,Balanced,,,No,Neutral,No,No,No,No,High,2.2,High,Kinesthetic
22.4,Male,Some College,60000,A,80.5,Low,2.9,Science,Private,Medium,Low,Yes,Low,Low,High,,Medium,23.9,,4.5,Unhealthy,High,6.57,No,Neutral,Yes,No,No,No,High,2.5,High,Kinesthetic
15.3,Male,College,,C,66.1,High,6.7,Arts,Public,Low,Low,Yes,High,High,High,Positive,Medium,27.8,Yes,7.5,Balanced,Low,4.7,Yes,Positive,No,Yes,Yes,Yes,Low,2.9,Medium,Auditory
20.9,Male,High School,40000,A,62.8,,7.8,Medicine,Public,Low,Low,No,Medium,High,Medium,Positive,Low,,No,7.0,Healthy,High,7.1,No,Negative,Yes,Yes,No,No,Medium,4.5,Medium,Visual
19.1,Female,Some College,75000,,92.7,High,6.6,Science,Private,,,Yes,High,Medium,Low,Negative,Medium,35.7,No,6.5,Healthy,Medium,3.8,Yes,Positive,No,No,Yes,Yes,High,4.1,Low,Auditory
18.5,Male,Some College,Unknown,B,99.0,,3.7,Medicine,Public,High,Medium,,High,Medium,Low,Positive,Low,36.4,No,6.8,Healthy,,,Yes,Positive,No,No,Yes,Yes,Medium,2.2,Medium,Auditory
21.2,Male,High School,50000,B,90.8,High,2.6,Business,,Medium,High,Yes,High,Medium,Medium,Negative,High,28.9,Yes,7.1,Balanced,High,1.3,No,Positive,No,Yes,Yes,Yes,Low,2.0,Medium,Auditory
21.7,Male,College,40000,C,76.6,Low,7.0,Business,Public,Medium,Medium,Yes,High,High,Medium,Positive,Low,23.6,No,4.5,Unhealthy,High,6.4,Yes,Neutral,Yes,Yes,No,Yes,Low,4.8,Medium,Visual
22.1,Male,College,Unknown,,72.4,High,5.9,Law,Private,Medium,Low,Yes,High,High,Low,Negative,Medium,26.0,Yes,4.9,Balanced,High,1.7,Yes,Positive,No,Yes,No,Yes,High,2.9,High,Kinesthetic
20.6,Male,High School,40000,B,64.6,High,6.7,Business,Public,Low,Medium,Yes,High,High,Medium,Positive,High,21.6,Yes,5.33,Unhealthy,High,7.0,Yes,Positive,No,Yes,Yes,No,High,4.6,High,Visual
,Male,College,Unknown,C,75.2,Medium,7.1,Arts,Public,Low,High,Yes,Low,Low,Low,Positive,High,31.6,Yes,,Balanced,Medium,7.2,No,Positive,No,Yes,Yes,No,Medium,,Low,Visual
16.6,Female,Graduate,Unknown,A,83.6,High,4.2,Medicine,Private,High,Low,Yes,Medium,Low,Medium,,High,35.6,Yes,,Balanced,High,1.9,Yes,Positive,No,Yes,,Yes,,1.1,High,Kinesthetic
16.2,Male,Graduate,75000,A,76.2,Low,6.2,Arts,Private,Medium,High,Yes,Low,High,Medium,Positive,Low,32.6,No,6.1,Balanced,High,5.5,Yes,Neutral,,Yes,Yes,No,High,3.8,Medium,Visual
19.2,Male,Graduate,30000,B,88.3,Medium,6.2,Arts,Private,,Medium,No,Medium,,High,Positive,Medium,29.6,Yes,9.1,Balanced,Medium,6.3,Yes,Neutral,No,Yes,Yes,No,High,3.8,High,Visual
20.2,Female,Some College,50000,B,71.4,Low,4.2,Law,Private,Low,High,Yes,High,Medium,Medium,Positive,High,22.7,Yes,6.8,,Low,6.1,,Positive,No,Yes,Yes,,Medium,,High,Auditory
14.4,Male,Graduate,50000,C,90.7,High,6.8,Engineering,,Low,High,Yes,High,High,,Positive,Medium,28.9,,6.3,Balanced,Medium,5.8,Yes,Positive,No,Yes,No,No,Medium,0.5,High,Visual
19.5,Female,College,60000,B,89.1,Low,6.1,Medicine,Public,Low,High,Yes,Low,High,High,Positive,Medium,23.8,No,5.0,Balanced,High,7.6,Yes,Positive,No,Yes,Yes,Yes,Medium,3.0,,Visual
22.1,Female,,40000,C,,Medium,6.6,Engineering,Private,Medium,,Yes,Medium,High,Medium,,High,,Yes,5.2,Balanced,Medium,6.9,Yes,Negative,No,Yes,No,Yes,Medium,0.7,High,Visual
20.0,Female,High School,30000,B,79.4,High,7.0,,Private,Medium,High,,Medium,High,High,Positive,Medium,31.0,Yes,,Balanced,Medium,5.0,Yes,Positive,No,Yes,No,No,High,0.9,Low,Visual
16.9,Female,College,60000,C,73.0,High,5.7,Business,Private,Medium,Medium,Yes,,Medium,Medium,Positive,Medium,22.5,No,8.0,Balanced,Medium,2.7,Yes,Positive,Yes,Yes,Yes,Yes,High,0.6,Low,Auditory
21.3,,College,50000,A,66.0,High,1.0,Engineering,Public,Medium,Medium,No,High,Low,High,Positive,High,28.8,No,8.1,Balanced,Low,5.0,Yes,Positive,No,No,Yes,Yes,Medium,1.2,Low,Auditory
18.2,Male,High School,30000,A,62.8,Low,6.1,Engineering,Public,Low,Low,No,Low,Medium,High,Positive,High,38.4,Yes,4.2,Balanced,High,1.6,Yes,Positive,No,Yes,No,No,High,2.3,,Auditory
18.2,Female,Some College,30000,A,88.1,High,,Arts,,Low,Medium,Yes,Low,High,,Positive,Low,25.5,Yes,6.5,Unhealthy,,5.6,Yes,Neutral,No,Yes,,No,High,0.9,Low,Visual
24.8,Female,High School,Unknown,B,,Medium,3.6,Arts,Private,Medium,Low,Yes,High,High,High,Positive,Medium,35.3,Yes,4.8,Balanced,High,0.4,Yes,Neutral,Yes,Yes,No,No,High,1.4,High,Kinesthetic
24.1,Female,Some College,60000,B,63.7,High,1.8,Engineering,Public,Medium,High,Yes,High,Medium,Medium,Neutral,Low,29.0,,6.6,Balanced,High,5.6,No,Positive,No,Yes,Yes,Yes,Medium,2.9,Low,Auditory
21.0,Female,High School,60000,B,77.8,High,2.7,,Private,High,Medium,Yes,High,,Medium,Positive,Medium,39.7,Yes,,Healthy,High,4.5,Yes,Positive,No,Yes,Yes,Yes,High,1.1,Medium,Auditory
20.5,Female,Some College,50000,B,84.4,Low,0.4,Medicine,Public,Low,Low,No,Medium,Medium,High,Positive,High,27.7,Yes,3.8,Balanced,High,0.2,No,Negative,No,No,Yes,No,High,4.6,High,Kinesthetic
19.9,Male,Some College,50000,C,95.0,Low,7.1,Arts,Public,Low,Medium,Yes,Low,High,,Positive,Medium,33.8,Yes,4.0,Healthy,Medium,6.3,Yes,Positive,No,Yes,No,No,Medium,3.2,High,Visual
20.6,Female,Some College,50000,C,95.3,High,2.6,Medicine,Public,Low,Low,Yes,High,Medium,Medium,Neutral,Low,21.9,Yes,5.2,Balanced,High,0.7,,Negative,No,Yes,No,No,High,1.8,High,Kinesthetic
19.9,Male,Some College,50000,A,96.4,High,8.1,Medicine,Private,Medium,High,No,High,High,High,,High,22.5,No,7.0,Unhealthy,Low,5.6,Yes,Positive,Yes,Yes,No,No,High,1.0,Low,Visual
18.9,Male,College,30000,B,64.0,Medium,0.4,,Private,Medium,Low,No,High,Medium,Medium,Negative,Low,33.6,Yes,4.8,Unhealthy,High,0.6,No,Positive,No,Yes,Yes,No,High,0.0,High,Kinesthetic
21.3,Male,College,30000,B,70.0,Medium,1.5,,Public,Medium,Medium,Yes,High,Medium,Medium,Neutral,Low,21.4,Yes,,,Medium,7.4,No,Positive,No,Yes,Yes,Yes,,0.2,High,Auditory
20.0,Female,High School,Unknown,C,69.8,,7.2,Business,Private,Low,Medium,Yes,Medium,High,Low,Positive,High,35.9,Yes,8.8,Healthy,High,6.6,Yes,Neutral,No,Yes,No,Yes,Medium,1.4,Medium,Visual
21.0,Male,Some College,40000,C,64.48,High,3.7,,Private,Medium,Low,Yes,High,Low,High,Positive,High,23.4,Yes,,Unhealthy,High,0.7,No,Neutral,No,Yes,Yes,No,,4.8,High,Kinesthetic
24.3,Female,Some College,60000,B,68.1,High,1.0,Business,Public,Medium,Medium,Yes,Low,Medium,High,Neutral,Low,29.7,Yes,6.9,Healthy,High,4.7,No,Positive,No,Yes,Yes,Yes,High,0.2,High,Auditory
18.5,Male,College,50000,C,95.3,Medium,6.5,Law,Public,High,Medium,Yes,Low,High,Low,,Medium,36.1,Yes,8.6,Healthy,High,6.6,Yes,Positive,No,Yes,No,No,High,0.1,Medium,Auditory
21.1,Male,College,60000,B,71.5,Medium,7.4,Science,Public,Medium,High,Yes,Low,,Medium,Positive,Medium,39.7,Yes,5.0,Balanced,Medium,6.9,Yes,Positive,Yes,Yes,No,No,High,2.4,Low,Visual
25.6,Female,College,40000,B,93.4,Low,7.0,Medicine,Public,High,Medium,No,,High,Medium,Positive,Low,26.1,No,4.8,Healthy,Low,7.0,Yes,Positive,No,Yes,No,No,High,-0.2,High,Kinesthetic
20.4,Male,,30000,C,95.5,Low,6.5,Science,Private,Low,Medium,,High,High,High,Positive,High,28.3,Yes,8.9,Balanced,Low,8.1,Yes,Positive,No,Yes,Yes,Yes,Low,5.1,High,Kinesthetic
21.6,Female,Some College,60000,B,69.4,Low,7.1,Science,Private,Medium,Medium,Yes,Medium,High,Medium,Positive,Medium,27.6,Yes,,Healthy,Low,5.9,Yes,Positive,No,Yes,Yes,No,Medium,2.7,Medium,Visual
23.1,Female,High School,60000,A,85.0,High,0.0,Medicine,Public,Medium,Medium,Yes,High,,Medium,,Medium,20.2,Yes,8.1,Healthy,High,3.6,Yes,Positive,No,Yes,Yes,Yes,Medium,2.3,Medium,Auditory
21.5,Male,,40000,A,82.2,High,4.4,Medicine,Public,High,High,Yes,High,Medium,High,Positive,,37.2,No,7.9,Unhealthy,Low,1.6,Yes,Positive,No,Yes,Yes,Yes,High,0.8,High,Auditory
17.6,Female,Graduate,50000,C,73.82,High,5.2,Business,Public,Medium,Low,Yes,High,Low,Medium,Neutral,Low,28.4,No,7.2,Unhealthy,Medium,2.3,Yes,Positive,No,Yes,Yes,,Low,4.1,Medium,Auditory
18.4,Male,Some College,75000,B,67.8,High,0.2,Business,Public,Medium,,No,High,Low,Medium,Neutral,Medium,23.3,Yes,7.3,Healthy,Medium,6.8,Yes,Positive,No,Yes,Yes,Yes,High,1.3,Low,Auditory
22.6,Male,Some College,30000,C,77.9,High,7.1,Arts,Public,Medium,High,Yes,Medium,High,Medium,Positive,Medium,24.7,No,6.8,Unhealthy,,6.4,Yes,Positive,No,Yes,No,Yes,High,0.9,Medium,Auditory
17.8,Male,Some College,Unknown,A,88.6,High,2.9,Law,Private,Low,Medium,Yes,High,,High,Neutral,Medium,36.7,Yes,7.7,Balanced,Low,3.0,No,Positive,No,Yes,Yes,Yes,High,4.6,Low,Auditory
19.5,Male,High School,60000,B,95.1,Low,4.0,Science,Private,Medium,Low,No,Medium,Medium,Medium,Neutral,Medium,21.7,Yes,5.1,Healthy,High,1.9,Yes,Negative,No,Yes,Yes,No,High,4.5,High,Kinesthetic
20.2,Male,College,30000,B,86.0,High,4.1,Arts,Public,Medium,Low,Yes,Medium,Medium,Medium,Neutral,Low,39.7,Yes,5.6,Healthy,High,0.1,No,,No,Yes,No,No,High,3.2,High,Kinesthetic
24.0,Male,College,30000,A,71.0,Low,5.2,Law,Public,Low,Low,,High,Medium,High,Positive,Medium,34.6,Yes,7.5,Balanced,Low,2.4,Yes,Positive,No,No,Yes,Yes,High,4.1,Medium,Auditory
,Male,Graduate,Unknown,A,69.9,Low,7.2,Business,Public,Medium,Medium,No,High,High,,Positive,High,34.5,Yes,8.8,Healthy,Low,7.4,Yes,Negative,No,Yes,No,No,Medium,2.5,Low,Visual
25.5,Male,College,,C,,Medium,7.7,Engineering,Private,Low,Medium,Yes,Medium,High,Medium,Positive,Medium,20.9,No,5.0,Unhealthy,High,,Yes,Positive,No,Yes,No,No,Medium,3.1,Medium,Visual
15.1,Male,High School,Unknown,B,98.7,Medium,4.6,,Private,,Low,Yes,High,Low,Medium,Positive,Low,30.8,Yes,4.7,Healthy,High,1.3,No,Positive,No,Yes,No,No,High,3.6,High,Kinesthetic
20.3,Female,Graduate,40000,C,93.8,Medium,2.1,Law,Private,Medium,Low,No,Medium,High,Medium,Neutral,Medium,29.3,Yes,3.8,Balanced,High,0.2,No,Positive,No,Yes,No,No,High,0.6,High,Kinesthetic
20.1,Male,College,75000,B,73.3,Low,2.9,Arts,Private,High,Low,Yes,Medium,Medium,Medium,Positive,Medium,34.2,Yes,4.8,Unhealthy,High,0.7,Yes,Positive,No,No,No,No,High,1.2,High,Kinesthetic
19.6,Male,College,40000,A,78.4,High,7.5,Medicine,Private,Low,Low,Yes,Medium,Medium,High,Positive,,23.6,Yes,4.8,Unhealthy,High,1.32,Yes,Positive,No,No,Yes,No,High,4.1,High,Kinesthetic
20.7,Male,High School,30000,C,,High,2.57,Arts,Private,Low,Medium,Yes,High,Medium,Medium,Neutral,Medium,33.6,No,7.0,Healthy,Low,6.3,No,Positive,No,No,Yes,Yes,Low,1.3,High,Auditory
21.7,Male,Some College,40000,A,76.5,High,3.6,Arts,Private,Medium,Low,Yes,High,Medium,High,,High,23.8,Yes,7.5,Unhealthy,Medium,5.7,No,Positive,Yes,Yes,Yes,Yes,Medium,3.6,,Auditory
17.0,Male,Graduate,Unknown,A,79.1,Medium,6.2,Medicine,Private,Medium,High,Yes,High,High,High,Positive,Medium,28.1,Yes,6.7,Unhealthy,Medium,5.3,Yes,Negative,,Yes,Yes,Yes,High,1.7,Low,Visual
18.0,Female,Some College,75000,B,97.2,High,5.9,,Public,Low,Medium,Yes,High,Low,Medium,Neutral,High,20.4,No,6.8,Balanced,Low,1.8,Yes,Positive,Yes,Yes,Yes,Yes,Low,3.3,High,Auditory
25.3,Male,Graduate,75000,C,74.3,High,2.3,Law,Private,Medium,Low,Yes,High,Medium,High,Neutral,High,39.4,Yes,5.5,Balanced,High,0.9,No,Neutral,No,No,No,No,High,3.3,High,Kinesthetic
17.2,Female,High School,30000,C,83.8,Low,7.6,Business,Private,High,Medium,Yes,,High,Low,Positive,Low,29.5,,5.5,Healthy,Low,5.7,Yes,Positive,No,Yes,Yes,Yes,Low,2.8,Low,Visual
21.3,Male,Graduate,75000,A,87.7,Low,1.2,Science,Public,Low,Low,Yes,Medium,High,Low,Negative,Medium,33.6,Yes,4.5,Balanced,High,0.5,Yes,Neutral,Yes,Yes,No,No,High,1.2,High,Kinesthetic
19.2,Female,High School,Unknown,,79.1,Medium,7.4,Medicine,Private,Medium,Low,No,High,High,High,Negative,Low,27.0,No,6.8,Healthy,Medium,2.1,Yes,Positive,No,No,Yes,Yes,High,0.0,Low,Visual
13.1,Female,Graduate,30000,B,73.9,Low,2.1,Law,Public,Low,Low,Yes,Low,Low,High,Positive,Medium,26.2,Yes,4.3,,High,0.2,Yes,Negative,No,Yes,No,Yes,High,3.0,High,Kinesthetic
23.2,Female,Some College,Unknown,B,93.2,Medium,8.1,Engineering,Private,Medium,Low,,Low,Medium,Low,Positive,Low,39.3,Yes,5.3,Healthy,High,0.8,Yes,Positive,Yes,No,No,No,High,2.9,High,Kinesthetic
21.5,Female,High School,Unknown,B,,Medium,6.2,Business,,Medium,High,No,Medium,High,Low,Positive,High,36.6,Yes,7.7,Healthy,Medium,6.1,No,Negative,No,Yes,Yes,No,Low,2.4,Medium,Visual
17.6,Female,High School,50000,,96.5,High,0.6,Science,Private,Low,Low,No,Low,Medium,High,Neutral,High,35.7,Yes,6.5,Healthy,High,2.5,No,Positive,No,Yes,Yes,Yes,Low,2.3,Medium,Auditory
20.2,Female,High School,Unknown,B,92.5,Medium,2.8,Medicine,Public,Low,Low,Yes,Medium,Medium,High,Neutral,Medium,34.8,,3.9,Healthy,High,0.7,Yes,Negative,No,Yes,Yes,No,High,1.2,High,Kinesthetic
18.1,Female,College,40000,B,94.5,High,0.2,Science,Private,Low,High,Yes,High,Medium,Low,Negative,High,27.0,No,7.8,Unhealthy,Low,7.5,Yes,Positive,No,,Yes,Yes,Medium,1.6,High,Auditory
,Female,College,40000,B,82.3,High,0.5,,Public,Medium,Low,Yes,High,Medium,Low,Positive,Medium,35.4,Yes,8.1,Balanced,Low,,Yes,Positive,No,Yes,Yes,Yes,High,1.8,Medium,Auditory
20.6,Female,Graduate,60000,A,72.0,,2.08,Medicine,Public,High,High,Yes,High,High,Low,Positive,Medium,31.3,No,4.9,Unhealthy,Medium,7.2,Yes,Negative,No,Yes,No,No,High,1.2,Medium,Visual
19.5,Female,Some College,50000,A,67.8,Medium,0.7,Arts,Private,Medium,Low,Yes,Medium,High,Medium,Positive,Medium,34.9,Yes,5.3,Healthy,High,-0.1,No,Neutral,No,Yes,No,No,High,1.7,,Kinesthetic
17.1,Female,College,Unknown,C,76.7,High,3.7,Law,Public,High,Low,Yes,Medium,High,,Positive,Low,27.7,Yes,5.5,Healthy,High,0.6,Yes,Neutral,No,Yes,No,No,High,2.8,High,Kinesthetic
21.3,Female,Graduate,Unknown,B,96.8,Low,6.2,Business,Public,Medium,,Yes,Low,High,Medium,Positive,Low,27.7,No,8.7,Balanced,Low,7.9,Yes,Positive,No,Yes,No,Yes,Medium,3.8,Medium,Visual
20.9,Female,College,50000,A,62.0,High,5.2,Business,Private,Low,Medium,Yes,High,Medium,Low,Neutral,Medium,22.8,Yes,7.1,Healthy,High,6.5,No,Positive,Yes,Yes,,Yes,Low,1.9,Low,Auditory
17.2,Female,Graduate,60000,,81.9,Medium,5.2,Science,Public,Low,Low,Yes,High,Medium,Medium,Positive,High,29.0,Yes,4.6,Unhealthy,High,1.0,No,Neutral,Yes,No,No,No,High,-0.3,,Visual
23.2,Male,College,Unknown,C,76.8,Medium,5.8,,Public,Medium,High,Yes,Medium,High,,Positive,Medium,23.2,Yes,4.5,Balanced,Low,7.2,Yes,Neutral,,Yes,No,No,Medium,2.0,Low,Visual
19.3,Female,Graduate,40000,B,,High,7.0,Medicine,Private,Low,,,Low,,Medium,Positive,,33.0,Yes,7.4,Healthy,High,7.2,Yes,Positive,No,Yes,No,No,Low,2.9,Medium,Visual
20.5,Female,Graduate,60000,B,72.0,High,4.5,Arts,Public,Medium,High,Yes,Medium,Medium,,Positive,,30.5,No,5.0,Healthy,High,2.9,Yes,Positive,No,,Yes,Yes,High,3.4,Low,Auditory
22.6,,High School,30000,B,83.5,High,,Arts,Private,Medium,Medium,,High,High,Low,Positive,Medium,32.8,Yes,6.7,Unhealthy,Medium,2.7,Yes,Negative,No,No,Yes,Yes,Low,1.0,High,Auditory
16.7,,Graduate,75000,A,86.9,Low,6.1,,Public,Medium,High,Yes,Medium,High,Low,Positive,Low,20.7,Yes,5.7,Unhealthy,,5.9,Yes,Negative,No,Yes,Yes,No,Low,2.2,High,Visual
19.8,Female,College,60000,B,80.3,High,7.0,Science,Public,Low,Medium,Yes,High,Medium,,,Medium,26.9,Yes,7.2,Balanced,High,7.8,No,Positive,No,Yes,Yes,Yes,Medium,2.2,High,Auditory
22.1,,High School,75000,B,91.5,Medium,8.3,Law,Private,Low,High,No,Medium,High,Low,Positive,Medium,27.9,Yes,4.1,Balanced,Medium,6.5,Yes,Negative,,Yes,Yes,No,,4.2,High,Visual
15.6,Male,College,30000,B,92.0,Medium,7.1,Science,Private,,Medium,Yes,High,High,Low,,High,23.1,Yes,8.6,Healthy,Medium,5.0,Yes,Neutral,Yes,Yes,No,No,Medium,,Medium,Visual
20.6,Male,College,Unknown,B,93.6,High,2.4,Medicine,,Medium,High,No,High,Medium,Medium,Neutral,High,39.3,No,7.0,Balanced,Medium,3.1,Yes,Positive,No,Yes,Yes,Yes,Medium,3.2,High,Auditory
18.9,Male,High School,30000,A,60.0,Low,1.4,Medicine,Private,Medium,Low,Yes,Low,High,Medium,Negative,Medium,38.7,Yes,4.1,Balanced,High,1.9,Yes,Positive,Yes,Yes,Yes,No,High,2.0,High,Kinesthetic
25.0,Female,,50000,C,86.8,Medium,7.3,Law,Private,Medium,Low,Yes,Medium,High,Medium,Positive,Medium,34.2,No,6.7,Healthy,Medium,5.2,Yes,Neutral,No,Yes,No,Yes,High,3.6,Medium,Kinesthetic
24.8,Female,Some College,75000,B,84.1,High,5.0,Law,Private,High,Low,Yes,Medium,Low,Low,Positive,High,29.4,Yes,4.3,Healthy,High,1.6,Yes,Positive,No,No,No,No,High,4.5,High,Kinesthetic
16.3,Female,,Unknown,B,84.8,High,2.0,,Private,High,Low,Yes,Medium,Medium,Low,Positive,Low,20.8,Yes,4.3,Healthy,High,0.6,Yes,Negative,No,Yes,Yes,No,High,1.3,High,Kinesthetic
18.4,Male,College,40000,A,93.1,,6.4,Engineering,Private,Medium,High,,High,High,Low,Positive,Medium,37.8,No,8.0,Balanced,Medium,5.0,Yes,Neutral,No,Yes,No,No,Low,3.0,Medium,Visual
21.2,Male,Some College,60000,B,83.4,Low,7.3,Science,Public,Medium,Low,No,Medium,Medium,High,,Medium,20.4,,5.0,Balanced,High,-0.3,Yes,Positive,No,Yes,No,Yes,High,0.3,High,Kinesthetic
18.2,Female,Some College,40000,B,75.9,Medium,7.3,Business,Public,Low,Medium,Yes,High,High,Low,Positive,Medium,39.2,Yes,8.3,Unhealthy,Low,7.2,Yes,Positive,No,Yes,No,,Medium,4.7,High,Visual
16.4,Male,College,50000,A,87.6,Medium,2.48,Arts,Public,High,High,Yes,Low,High,Medium,Positive,Medium,36.2,Yes,7.2,Healthy,High,7.6,Yes,Positive,No,Yes,No,No,Medium,3.1,,Visual
